code,description,explaination,type
398,"Secondary Event – Order Key, Trade Key, Quote Key or Fulfillment Key prior to CAT go-live ","The Secondary Event (as defined in Appendix F) references an Order Key, Trade Key, Quote Key or Fulfillment Key that does not exist in CAT because it references a date prior to CAT go-live. ",Warning
397,Intrafirm Late Reported event ,An Intrafirm event unmatched as it was reported to CAT beyond the processing window. This warning is not repairable. ,Warning
499,Late Reported Trade event ,A Trade event unmatched as it was reported to CAT beyond the processing window. This warning is not repairable. ,Warning
498,Named - Late Reported Trade Report ,Named on a TRF/ADF/ORF Trade Report that was reported beyond the processing window. This warning is not repairable. ,Warning
799,Late reported Order Route event ,An Order Route event unmatched as it was reported to CAT beyond the processing window. This warning is not repairable. ,Warning
798,Named - Late reported exchange order ,Named on an exchange order that was reported beyond the processing window. This warning is not repairable. ,Warning
899,Late reported Order Route event ,An Order Route event unmatched as it was reported to CAT beyond the processing window. This warning is not repairable. ,Warning
898,Named - Late reported Order Route event ,Named on an Order Route event that was reported beyond the processing window. This warning is not repairable. ,Warning
897,Early reported Order Route event ,An Order Route event unmatched as it was reported to CAT earlier than the due date. This warning is not repairable. ,Warning
896,Named - Early reported Order Route event ,"Named on an Order Route event that was reported to CAT earlier than the due date; therefore, no Interfirm match was possible. This warning is not repairable. ",Warning
895,Late reported Order Accepted event ,An Order Accepted event unmatched as it was reported to CAT beyond the processing window. This warning is not repairable. ,Warning
894,Named - Late reported Order Accepted event ,Named on an Order Accepted event that was reported beyond the processing window. This warning is not repairable. ,Warning
893,Early reported Order Accepted event ,An Order Accepted event unmatched as it was reported to CAT earlier than the due date. This warning is not repairable. ,Warning
892,Named - Early reported Order Accepted event ,Named on an Order Accepted event that was reported to CAT earlier than the due date. This warning is not repairable. ,Warning
